sep=	
Messdienerplan 01.11.2015 - 01.01.2016

So. 01.11.2015 09:00, St. Josef	Normal	Wendy Wagner	Vinn Vogelfänger	
		Bo Bauer	Quentin Quecke	

So. 08.11.2015 09:00, St. Josef	Normal	Otto Otter	Hans Hamster	
		Leon Lämpel	Laura Lämpel	

Sa. 14.11.2015 17:00, St. Josef	Normal	Christina Chlodewig	Georg Gustavsson	
		Gisela Gustavsson	Frieda Fuchs	

So. 15.11.2015 09:00, St. Josef	Normal	Emma Erpel	Johanna Jäger	
		Ulla Ulsson	Zacchary Zu Zeppelin	

So. 22.11.2015 09:00, St. Josef	Normal	Marie Maler	Paul Paulsson	
		Adam Apfel	Xavier Xi-Hu	

Sa. 28.11.2015 17:00, St. Josef	Normal	Yvonne Yorkshire	Deborah Duck	
		Tobias Töpfer	Tanja Töpfer	

So. 29.11.2015 09:00, St. Josef	Normal	Raúl Rolle	Nils Nichtig	
		Ingrid Iltis	Sarah Salzsäule	

So. 06.12.2015 09:00, St. Josef	Normal	Laura Lämpel	Bo Bauer	
		Leon Lämpel	Karl Kuckuck	

Sa. 12.12.2015 17:00, St. Josef	Normal	Georg Gustavsson	Gisela Gustavsson	
		Quentin Quecke	Zacchary Zu Zeppelin	

So. 13.12.2015 09:00, St. Josef	Normal	Christina Chlodewig	Xavier Xi-Hu	
		Wendy Wagner	Paul Paulsson	

So. 20.12.2015 09:00, St. Josef	Normal	Emma Erpel	Yvonne Yorkshire	
		Vinn Vogelfänger	Hans Hamster	

Do. 24.12.2015 18:30 (Heiligabend), St. Josef	Normal	Nils Nichtig	Ingrid Iltis	
Probe: Mittwoch 15:00 in der Kirche		Sarah Salzsäule	Tobias Töpfer	
		Raúl Rolle	Ulla Ulsson	
		Johanna Jäger	Otto Otter	
		Deborah Duck	Marie Maler	
		Tanja Töpfer	Adam Apfel	
	Weihrauch	Laura Lämpel	

Fr. 25.12.2015 09:00 (1. Weihnachtsfeiertag), St. Josef	Normal	Zacchary Zu Zeppelin	Bo Bauer	
		Leon Lämpel	Quentin Quecke	
		Frieda Fuchs	Karl Kuckuck	
	Weihrauch	Yvonne Yorkshire	

Sa. 26.12.2015 09:00 (2. Weihnachtsfeiertag), St. Josef	Normal	Tobias Töpfer	Raúl Rolle	
		Georg Gustavsson	Gisela Gustavsson	
		Tanja Töpfer	Xavier Xi-Hu	
	Weihrauch	Christina Chlodewig	

So. 27.12.2015 09:00, St. Josef	Normal	Nils Nichtig	Ulla Ulsson	
		Wendy Wagner	Paul Paulsson	

Do. 31.12.2015 19:00 (Silvester), St. Josef	Normal	Johanna Jäger	Adam Apfel	
		Frieda Fuchs	Deborah Duck	
		Ingrid Iltis	Vinn Vogelfänger	
		Emma Erpel	Hans Hamster	
	Weihrauch	Yvonne Yorkshire	

Fr. 01.01.2016 17:00 (Neujahr), Maria Königin	Normal	Sarah Salzsäule	Marie Maler	
		Otto Otter	Karl Kuckuck	

